[INFO] 最適な α（正則化強度）: 0.00219
[INFO] 決定係数 R²: 0.7808

[INFO] 非ゼロ係数の変数一覧:
      変数名        係数
   面積_num -0.109735
  築年数_num -0.080401
   駅名_大分駅  0.072168
  駅名_坂ノ市駅 -0.034041
  駅名_古国府駅  0.024265
 駅名_豊後国分駅  0.017717
    駅名_牧駅  0.017314
  駅名_南大分駅  0.017281
   駅名_大在駅 -0.016075
  徒歩分_num -0.011052
  駅名_西大分駅  0.011008
   駅名_高城駅  0.009550
   駅名_賀来駅  0.009256
   駅名_敷戸駅  0.004914
駅名_大分大学前駅  0.000297
   駅名_鶴崎駅 -0.000155
